class,cad_probs_10,cad_probs_50,cad_probs_5000,cads_avg,n_epochs
SuperWASP,0.969387755102,0.989795918367,1.0,0.0105461224495,99
Kepler,0.0,0.991935483871,1.0,0.0205990414798,249
OGLE-I,0.00641025641026,0.00641025641026,0.788461538462,7.83210083333,157
Kepler,0.0,0.984848484848,1.0,0.0207441428636,67
Hipparcos,0.0,0.453703703704,0.814814814815,8.63185833333,109
OGLE-I,0.0,0.0232558139535,0.790697674419,6.67300356589,130
Kepler,0.0,1.0,1.0,0.0204343338421,20
ASAS,0.0242424242424,0.0727272727273,0.721212121212,6.35796806061,166
SuperWASP,0.900398406375,0.96812749004,0.99203187251,0.0551824302791,252
LINEAR,0.0,0.72972972973,0.72972972973,8.94600540541,38
OGLE-III,0.0,0.0,0.461538461538,9.20371435897,40
Kepler,0.0,0.985507246377,1.0,0.0207304587536,70
OGLE-III,0.0,0.0,0.551020408163,4.99936421769,148
Stripe82,0.0,0.0,0.142857142857,81.5685177857,15
OGLE-III,0.0,0.0,0.391304347826,8.90086927536,70
OGLE-I,0.0,0.0,0.882352941176,2.35837647059,18
Kepler,0.0,1.0,1.0,0.0204345858421,20
ASAS,0.0,0.0,0.36231884058,5.82549710145,70
ASAS,0.0,0.0263157894737,0.789473684211,2.44239921053,39
SuperWASP,0.794871794872,1.0,1.0,0.00380384615169,40
OGLE-I,0.0,0.0,0.769230769231,11.2021353846,40
Kepler,0.0,0.99358974359,1.0,0.0205652017692,157
LINEAR,0.0,0.786666666667,0.813333333333,5.93126662667,76
OGLE-I,0.0,0.0,0.454545454545,54.9374304545,23
SuperWASP,0.711656441718,0.977505112474,0.99591002045,0.0509770143147,490
ASAS,0.0,0.0,0.68932038835,4.45577330097,104
ASAS,0.0,0.0,0.555555555556,6.966500625,145
ASAS,0.05,0.15,0.675,5.95497775,41
Kepler,0.0,0.99358974359,1.0,0.0205653362885,157
OGLE-III,0.0,0.0,0.368421052632,11.3733389474,20
Kepler,0.0,0.978494623656,1.0,0.020873768086,94
OGLE-III,0.0,0.0,0.722222222222,4.31996361111,73
Stripe82,0.0,0.0,0.515151515152,20.9424151212,34
OGLE-III,0.0,0.0,0.947368421053,2.04715052632,20
Kepler,0.0,0.99358974359,1.0,0.0205653306474,157
OGLE-III,0.0,0.0,0.539033457249,8.21560869888,270
OGLE-III,0.0,0.0,0.544444444444,5.17641333333,91
SuperWASP,0.578947368421,1.0,1.0,0.00457210525086,20
LINEAR,0.0,0.780821917808,0.808219178082,7.69144533562,147
Hipparcos,0.0,0.402985074627,0.873134328358,8.21162268657,135
OGLE-III,0.0,0.220588235294,0.926470588235,1.56856676471,69
LINEAR,0.01,0.78,0.81,4.20940649,101
Kepler,0.0,0.985507246377,1.0,0.0207288922464,70
Stripe82,0.0,0.0,0.411764705882,41.4121716471,18
LINEAR,0.0,0.736842105263,0.947368421053,0.63596931579,20
Stripe82,0.0,0.0,0.5,25.436667625,17
ASAS,0.0,0.136842105263,0.789473684211,3.32681873684,96
Kepler,0.0,0.995744680851,1.0,0.0205215624894,236
Kepler,0.0,0.987179487179,1.0,0.0206963130705,157
OGLE-III,0.0,0.0142857142857,0.928571428571,1.50867842857,71
ASAS,0.0204081632653,0.0612244897959,0.775510204082,2.77589489796,99
ASAS,0.0520833333333,0.0625,0.697916666667,5.73613802083,97
OGLE-III,0.0,0.0140845070423,0.957746478873,1.16543746479,72
SuperWASP,0.979919678715,0.991967871486,1.0,0.00841819277093,250
SuperWASP,0.922465208748,0.984095427435,0.999005964215,0.0189638270378,1007
Stripe82,0.0,0.0,0.25,34.034550875,33
ASAS,0.012987012987,0.181818181818,0.655844155844,7.69344227273,155
SuperWASP,0.904761904762,0.974206349206,1.0,0.0235311706349,505
SuperWASP,0.701960784314,0.980392156863,0.998039215686,0.0362981960785,1021
OGLE-III,0.0,0.00265957446809,0.789893617021,3.98914718085,377
OGLE-I,0.0,0.0123456790123,0.777777777778,8.78979098765,82
ASAS,0.0,0.0,0.45,18.349993,41
OGLE-I,0.0,0.0232558139535,0.790697674419,6.67300356589,130
Kepler,0.0,0.983870967742,1.0,0.020763795004,249
Stripe82,0.0,0.0,0.461538461538,32.5342175385,14
Stripe82,0.0,0.0,0.320754716981,62.9614379434,54
Kepler,0.0,0.987179487179,1.0,0.0206962902949,235
Stripe82,0.0,0.0,0.423076923077,44.9963412115,53
SuperWASP,0.948717948718,0.974358974359,1.0,0.0199999999947,40
Kepler,0.0,0.978494623656,1.0,0.0208738138172,94
LINEAR,0.0,0.763157894737,0.763157894737,8.97408431579,39
LINEAR,0.00581395348837,0.78488372093,0.848837209302,4.31982374419,173
ASAS,0.0,0.0,0.463414634146,8.48987585366,42
Kepler,0.0,0.985915492958,1.0,0.020722226668,498
Kepler,0.0,1.0,1.0,0.0204342841579,20
SuperWASP,0.899209486166,0.974308300395,1.0,0.0180880039527,507
OGLE-I,0.0,0.0,0.947368421053,1.30102473684,20
OGLE-III,0.0,0.0,0.676240208877,6.66841417755,384
Kepler,0.0,0.970149253731,1.0,0.0210442946119,68
Stripe82,0.0,0.0,0.25,27.3929268929,29
OGLE-III,0.0,0.0277777777778,0.75,16.4791341667,37
LINEAR,0.018018018018,0.779279279279,0.853603603604,4.46109753829,445
Kepler,0.0,0.979381443299,1.0,0.0208550655464,98
OGLE-I,0.0,0.0,0.842105263158,5.36709052632,20
SuperWASP,0.869565217391,0.942028985507,0.985507246377,0.10070144927,70
OGLE-III,0.0,0.0,0.768421052632,3.67404715789,96
ASAS,0.0,0.0,0.55,9.2230365,41
OGLE-III,0.0,0.0,0.578947368421,3.78672157895,20
LINEAR,0.0,0.722222222222,0.722222222222,19.1138103611,37
Hipparcos,0.0,0.405405405405,0.810810810811,10.6519167568,75
OGLE-III,0.0,0.0,0.560185185185,6.8700175,217
