class,all_times_hist_peak_val,cad_probs_1,cad_probs_100000,n_epochs,total_time
Stripe82,23,0.0,0.882352941176,18,746.983277
LINEAR,144,0.0731707317073,0.975609756098,42,270.117292
ASAS,259,0.0,0.985714285714,71,659.31093
Hipparcos,64,0.0,0.95,21,302.3331
OGLE-III,259,0.0,0.99,101,498.83139
ASAS,665,0.0,0.973684210526,153,1014.11923
LINEAR,33,0.0,1.0,19,147.821484
Hipparcos,122,0.0,1.0,20,67.7153
Kepler,38,0.0,1.0,40,0.817370959
SuperWASP,13260,0.495867768595,1.0,485,5.10220000008
ASAS,11,0.0,1.0,20,40.04072
ASAS,14,0.0,0.947368421053,20,208.28734
Hipparcos,55,0.0,1.0,36,282.6034
ASAS,37,0.0,1.0,39,114.77701
LINEAR,2801,0.00334448160535,0.989966555184,300,1128.95268
OGLE-III,63,0.0,0.975,41,209.27537
Kepler,18,0.0,1.0,20,0.408689708
SuperWASP,41077,0.430478309232,1.0,900,67.93413
ASAS,279,0.0,0.971428571429,71,327.01745
SuperWASP,437,0.487179487179,1.0,40,2.77160000009
Stripe82,26,0.0,0.944444444444,19,380.06826
Stripe82,250,0.0185185185185,0.87037037037,55,2336.772261
Stripe82,226,0.0,0.883720930233,44,2217.956975
Stripe82,79,0.0,0.9,31,1089.105647
ASAS,842,0.0,0.978723404255,142,1138.9392
Hipparcos,167,0.0,0.903225806452,63,1096.2808
SuperWASP,2038,0.5,1.0,151,2.9077399997
SuperWASP,36,0.461538461538,1.0,40,0.136220000219
OGLE-I,40,0.0,0.95,21,333.2831
OGLE-I,524,0.0,0.959459459459,75,811.00787
Kepler,432,0.0,1.0,147,3.00385494
SuperWASP,14,0.526315789474,1.0,20,0.0693400003947
Hipparcos,56,0.0,1.0,18,85.83985
ASAS,1684,0.0,0.991304347826,231,691.16435
ASAS,221,0.0,0.985714285714,71,330.03639
OGLE-III,1540,0.0,0.986547085202,224,1046.06286
Kepler,19,0.0,1.0,20,0.388256347
Kepler,4625,0.0,1.0,472,9.706290851
Kepler,75,0.0,1.0,40,2.063884006
ASAS,66,0.0,0.974358974359,40,293.16668
OGLE-I,310,0.0,0.985507246377,70,395.81795
Hipparcos,28,0.0,0.9375,17,182.94215
SuperWASP,742,0.494949494949,1.0,100,1.89072000002
Kepler,38,0.0,1.0,40,0.81734727
ASAS,53,0.0,0.973684210526,39,239.36212
LINEAR,91,0.0,0.914285714286,36,581.262763
Kepler,1150,0.0,1.0,235,4.822507678
OGLE-III,4341,0.0,0.983146067416,357,2373.77949
ASAS,2544,0.0,0.992481203008,267,876.77847
OGLE-III,64,0.0,0.974358974359,40,314.06526
OGLE-III,274,0.0,0.977272727273,89,716.00129
OGLE-III,11710,0.0,0.989010989011,638,2765.64451
SuperWASP,18,0.421052631579,1.0,20,0.05410999991
LINEAR,400,0.0,0.981481481481,109,878.730192
LINEAR,147,0.0,0.966101694915,60,792.882671
OGLE-III,9610,0.0,0.994163424125,515,1011.25342
Stripe82,12,0.0,0.933333333333,16,394.939669
ASAS,125,0.0,1.0,68,298.16387
Kepler,135,0.0,1.0,70,1.430412828
SuperWASP,14506,0.465306122449,1.0,491,12.11546
SuperWASP,737,0.492753623188,1.0,70,2.99583999999
ASAS,46,0.0,1.0,39,124.73474
SuperWASP,2140,0.5,1.0,149,4.06416000007
LINEAR,2467,0.0516129032258,0.993548387097,156,434.872159
LINEAR,419,0.0,0.986666666667,76,363.039108
SuperWASP,6661,0.487903225806,1.0,249,8.19549999991
Stripe82,174,0.0,0.85,41,2217.956969
OGLE-III,142,0.0,0.970149253731,68,483.38184
Stripe82,30,0.0,0.882352941176,18,708.022198
ASAS,998,0.0,0.987577639752,162,623.24689
OGLE-III,7577,0.0,0.990138067061,508,2007.71595
Hipparcos,702,0.0,1.0,63,159.77743
SuperWASP,34513,0.495307612096,1.0,960,27.9068700001
ASAS,268,0.0,0.977528089888,90,749.95885
