TT AQL    2448514.2059  7.222   .847  1.290   .715               993
TT AQL    2448515.2019  6.541   .638   .932   .587               993
TT AQL    2448516.1971  6.685         1.095   .640               993
TT AQL    2448517.1831  6.810   .817  1.178   .672               993
TT AQL    2448518.1946  6.937   .904  1.293   .723               993
TT AQL    2448519.2150  7.023         1.391   .750               993
TT AQL    2448520.1855  7.149         1.479   .753               993
TT AQL    2448521.2070  7.258         1.525   .775               993
TT AQL    2448522.1936  7.423         1.563   .800               993
TT AQL    2448523.1878  7.576         1.609   .839               993
TT AQL    2448854.1850  7.621  1.456  1.613   .852               994
TT AQL    2448856.1678  7.412         1.411   .745               994
TT AQL    2448858.1650  7.166   .829  1.269   .718               994
TT AQL    2448860.1564  6.688   .672  1.139   .644               994
TT AQL    2448862.2734  6.939   .938  1.338   .712               994
TT AQL    2448870.1386  7.380  1.001  1.445   .767               994
TT AQL    2448872.1401  7.023   .751  1.217   .672               994
TT AQL    2448874.1372  6.705   .687  1.152   .631               994
TT AQL    2448876.1310  6.975   .934  1.331   .737               994
TT AQL    2448877.1256  7.135  1.085  1.403   .770               994
TT AQL    2448880.1240  7.482  1.396  1.619   .828               994
TT AQL    2448881.1482  7.594         1.630   .836               994
TT AQL    2448882.1587  7.652         1.613   .842               994
TT AQL    2448883.1668  7.541         1.518   .811               994
TT AQL    2448884.1729  7.343         1.396   .767               994
TT AQL    2448885.1607  7.337         1.331   .763               994
