% date = 2008-04-15 12:18:55.777518
%% 
@RELATION ts

@ATTRIBUTE distance_in_kpc_to_nearest_galaxy NUMERIC
@ATTRIBUTE beyond1std NUMERIC
@ATTRIBUTE ratio21 NUMERIC
@ATTRIBUTE chi2 NUMERIC
@ATTRIBUTE std NUMERIC
@ATTRIBUTE ecpb NUMERIC
@ATTRIBUTE old_dc NUMERIC
@ATTRIBUTE skew NUMERIC
@ATTRIBUTE third NUMERIC
@ATTRIBUTE example NUMERIC
@ATTRIBUTE max_slope NUMERIC
@ATTRIBUTE n_points NUMERIC
@ATTRIBUTE median NUMERIC
@ATTRIBUTE ratio32 NUMERIC
@ATTRIBUTE ratio31 NUMERIC
@ATTRIBUTE weighted_average NUMERIC
@ATTRIBUTE first_freq NUMERIC
@ATTRIBUTE galb NUMERIC
@ATTRIBUTE gall NUMERIC
@ATTRIBUTE chi2_per_deg NUMERIC
@ATTRIBUTE distance_in_arcmin_to_nearest_galaxy NUMERIC
@ATTRIBUTE ecpl NUMERIC
@ATTRIBUTE wei_av_uncertainty NUMERIC
@ATTRIBUTE second NUMERIC
@ATTRIBUTE ratioRUfirst NUMERIC
@ATTRIBUTE dc NUMERIC
@ATTRIBUTE class {'GCVS:Pulsating:CEP:CEP(B)','GCVS:Pulsating:CEP','GCVS:Pulsating:RR:RRC','GCVS:Pulsating:RR:RRAB','GCVS:Pulsating:RR:RR(B)'}

@data
1000.0,0.0,0.0,18802.2415067,0.297267201825,51.3273891153,10.0661953846,-0.415238910595,0.0,129.105989601,41.0,130.0,10.1359,0.0,0.0,10.0081320796,0.025473148699,-3.80205147681,116.354968793,145.753810129,100.0,33.0740023519,7.94091955848,0.0,0.0,9.99999335625,'GCVS:Pulsating:CEP'
1000.0,0.0,0.0,13488.8885694,0.292534469723,26.6166243792,9.84455076923,-0.631853763256,0.0,64.4160140128,60.0,65.0,9.9338,0.0,0.0,9.81874038202,0.00952688184806,-32.2244085884,110.089620595,210.763883896,100.0,12.9789127762,33.665499596,0.0,0.0,9.81874038202,'GCVS:Pulsating:RR:RRAB'
1000.0,0.0,0.0,10630.4106936,0.159817172631,52.6110069739,9.06549708029,0.637518996972,0.0,137.862212503,103.0,137.0,9.0088,0.0,0.0,9.05839417443,0.00267297181867,-2.07213340711,116.823586692,78.1647845121,100.0,35.1042016298,18.9854191981,0.0,0.0,9.05839417443,'GCVS:Pulsating:CEP'
12.328,0.0,0.0,92057.7821592,0.281813649105,-14.4031798263,11.5348553846,-0.498472242865,0.0,64.8373026168,43.0,65.0,11.5638,0.0,0.0,11.5097104248,0.0175631494771,-73.6883388205,75.971820496,1438.40284624,4.3,354.218670782,8.84869614462,0.0,0.0,9.99999335625,'GCVS:Pulsating:RR:RRAB'
1000.0,0.0,0.0,7208702.96559,0.109348366569,-61.7131029253,18.9751860465,-0.0983797021253,0.0,300.923656481,67.0,301.0,18.98,0.0,0.0,18.9568203057,0.0139120124567,-43.2403576933,307.697744275,24029.0098853,100.0,306.99321482,0.751885917853,0.0,0.0,9.99999335625,'GCVS:Pulsating:RR:RR(B)'
1000.0,0.0,0.0,5987979.27998,0.118434324849,-61.7968684758,19.05901875,0.124069751738,0.0,320.033898305,76.0,320.0,19.057,0.0,0.0,19.0356737979,0.00436961039372,-43.0965219296,307.64045121,18771.0949216,100.0,306.730833544,0.537937793949,0.0,0.0,9.99999335625,'GCVS:Pulsating:RR:RR(B)'
1000.0,0.0,0.0,5456779.35986,0.123480911153,-61.7737924351,19.1319495268,0.146270921299,0.0,316.899780541,69.0,317.0,19.138,0.0,0.0,19.1102347549,0.112816217266,-43.1383315876,307.655321448,17268.2891135,100.0,306.808069403,0.503698659255,0.0,0.0,9.99999335625,'GCVS:Pulsating:RR:RR(B)'
1000.0,0.0,0.0,17306813.7159,0.115281703253,-61.6135788148,16.9922183908,-0.369208437513,0.0,173.915237787,52.0,174.0,17.0005,0.0,0.0,16.9777000772,0.00169429659062,-43.4209071364,307.760859172,100039.385641,100.0,307.32500155,10.4627682392,0.0,0.0,9.99999335625,'GCVS:Pulsating:CEP:CEP(B)'
1000.0,0.0,0.0,7047450.30324,0.127330339041,-61.8467388528,18.9550219436,-0.236905381105,0.0,318.865791278,70.0,319.0,18.963,0.0,0.0,18.9247364073,0.0554208416319,-43.0043062024,307.608973748,22161.7934064,100.0,306.559500476,0.651022593739,0.0,0.0,9.99999335625,'GCVS:Pulsating:RR:RR(B)'
1000.0,0.0,0.0,16612809.7941,0.0833116663859,-61.8403393615,17.1065325444,-0.394582383337,0.0,168.817751825,52.0,169.0,17.125,0.0,0.0,17.0982982832,0.0536634958062,-43.0215401244,307.610681671,98885.772584,100.0,306.593514064,10.2492620531,0.0,0.0,9.99999335625,'GCVS:Pulsating:CEP:CEP(B)'
1000.0,0.0,0.0,4832029.73001,0.127052812275,-61.5379120051,19.2355434783,0.0858619880261,0.0,322.009097998,91.0,322.0,19.235,0.0,0.0,19.2090603888,0.0410205291342,-43.5598523784,307.807542269,15053.0521184,100.0,307.579954068,0.407036190402,0.0,0.0,9.99999335625,'GCVS:Pulsating:RR:RR(B)'
1000.0,3.0,0.0,4512431.88979,0.133131265667,-61.7435466174,19.2333115265,0.148581701466,0.0,321.138777633,73.0,321.0,19.225,0.0,0.0,19.2049225028,0.0399372098987,-43.200571261,307.671460489,14101.3496556,100.0,306.925687674,0.375931369969,0.0,0.0,9.99999335625,'GCVS:Pulsating:RR:RR(B)'
